date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:50:25,lynewagedix,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485378264506368,https://twitter.com/lynewagedix/status/642485378264506368
2015-09-11 23:50:19,wivaricelopa,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485354021449728,https://twitter.com/wivaricelopa/status/642485354021449728
2015-09-11 23:49:31,jygyvocaqavo,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642485150979358720,https://twitter.com/jygyvocaqavo/status/642485150979358720
2015-09-11 23:48:38,dyhynuxurexe,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642484927771054080,https://twitter.com/dyhynuxurexe/status/642484927771054080
2015-09-11 23:48:37,murukymahozy,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642484926206623745,https://twitter.com/murukymahozy/status/642484926206623745
2015-09-11 23:48:35,tywoheqacuz,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642484915641167872,https://twitter.com/tywoheqacuz/status/642484915641167872
2015-09-11 23:48:07,surfbird03,,0,0,0,"Watching the Syrian Refugees in Europe on TV, one can only hope they calm down & show some respect to Aussie officials during processing..",,,,642484797739167745,https://twitter.com/surfbird03/status/642484797739167745
2015-09-11 23:47:45,jupygetineca,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642484705703645185,https://twitter.com/jupygetineca/status/642484705703645185
2015-09-11 23:47:43,beqewaletig,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642484699252813824,https://twitter.com/beqewaletig/status/642484699252813824
2015-09-11 23:47:15,tubenewsen,,0,0,0,"What life in transit looks like for refugee families in Europe NEWS >> http:// ift.tt/1Qu1pb6 #news #post #press pic.twitter.com/7lIVvFGyzv",,,#news #post #press,642484578981158912,https://twitter.com/tubenewsen/status/642484578981158912
