Date,Close,Polarity,Prediction,Subjectivity
2017-06-16,86.18,0.05841249799583122,0,0.4609925491954113
2017-06-19,88.07,0.09613863035113046,0,0.4714817484984149
2017-06-20,87.52,0.15820501396193568,0,0.44204589493514984
2017-06-21,87.12,0.06943967266068211,0,0.6727798418674183
2017-06-22,87.02,0.11562155218405203,0,0.5478421303421324
2017-06-23,86.86,0.06921726555397076,0,0.5258288873137147
2017-06-26,87.24,0.08167218553227079,0,0.4577602790427464
2017-06-27,88.05,0.08086884388005312,0,0.43714131153669145
2017-06-28,89.82,0.1786964195227565,0,0.5173785017037519
2017-06-29,91.15,0.21975040175211044,0,0.4721012678560756
2017-06-30,91.4,0.12338726066806638,0,0.48769098682605805
2017-07-03,92.75,0.12602736040825258,0,0.5534463666377074
2017-07-05,93.68,0.21965431478266265,0,0.4723654104011233
2017-07-06,93.38,0.19633116633949244,0,0.4303082183042892
2017-07-07,93.85,0.12948249984968715,0,0.4785479610088985
2017-07-10,93.19,0.12296259076020986,0,0.42731473846553225
2017-07-11,92.83,0.12344524024157892,0,0.5641897893614143
2017-07-12,92.51,0.13848825909035867,0,0.46131951466684246
2017-07-13,93.1,0.1272560960696553,0,0.46482732897987183
2017-07-14,92.25,-0.026127957294289284,0,0.5255254343224334
2017-07-17,91.39,0.1294846844319621,0,0.5039428409865527
2017-07-18,91.07,0.1029577947123629,0,0.49632897395148223
2017-07-19,91.2,0.04784902227402228,0,0.3629396319729644
2017-07-20,91.2,0.06384129784499618,0,0.4673928153538082
2017-07-21,90.89,0.054411797081736664,0,0.4538461419692534
2017-07-24,91.28,0.09649065094787931,0,0.4711699755659837
2017-07-25,92.8,0.11138109226374546,0,0.42444017433813325
2017-07-26,91.93,0.08258319630412655,0,0.41106710136870056
2017-07-27,91.55,0.16433801308939866,0,0.45865725676147007
2017-07-28,91.28,0.19949568544130206,0,0.47764268769950696
2017-07-31,91.8,0.16381280767345308,0,0.5235362683568444
2017-08-01,93.03,0.120664074456688,0,0.5502230047589903
2017-08-02,93.11,0.14830728960624526,0,0.5174267761539297
2017-08-03,92.5,-0.010211794945250822,0,0.5425038992869889
2017-08-04,93.66,-0.2905977726032944,0,0.6540547924408243
2017-08-07,94.02,0.12405717045817734,0,0.5939751219449211
2017-08-08,93.68,0.14005946599696598,0,0.5060319704630605
2017-08-09,93.53,0.10842801119318753,0,0.5156249932979695
2017-08-10,92.19,0.2447297416843585,0,0.48370403576135984
2017-08-11,91.42,0.06501556934626555,0,0.4762395998867523
2017-08-14,92.49,0.14245046663678806,0,0.3260858385150856
2017-08-15,92.73,0.05889893230171003,0,0.4764295536517763
